text,label,lang,verified,source
"Queer and scared of family finding out",yellow,en,true,hand_verified
"Identity stress, I don't know who I am at home",yellow,en,true,hand_verified
"Sunday night dread is back",yellow,en,true,hand_verified
"I dissociate in meetings",yellow,en,true,hand_verified
"Crying in the bathroom at office",yellow,en,true,hand_verified
"Roommate fights, I cannot study",yellow,en,true,hand_verified
"Hostel loneliness is loud",yellow,en,true,hand_verified
"I cancelled plans because of panic",yellow,en,true,hand_verified
"Social anxiety before every call",yellow,en,true,hand_verified
"I keep checking if they left me",yellow,en,true,hand_verified
"Jealousy and rumination after the fight",yellow,en,true,hand_verified
"I am scared I will fail again",yellow,en,true,hand_verified
"Parents compared me to my cousin",yellow,en,true,hand_verified
"I feel like a burden to my friends",yellow,en,true,hand_verified
"Sleeping 3 hours, brain fog",yellow,en,true,hand_verified
"Nightmares about the accident",yellow,en,true,hand_verified
"I snap at people I love",yellow,en,true,hand_verified
"I cannot enjoy anything lately",yellow,en,true,hand_verified
"Food has no taste, low mood",yellow,en,true,hand_verified
"I skip meals when anxious",yellow,en,true,hand_verified
"Doomscrolling till 3am",yellow,en,true,hand_verified
"I am exhausted but wired",yellow,en,true,hand_verified
"Hands shake before presentations",yellow,en,true,hand_verified
"I cried after a small Slack message",yellow,en,true,hand_verified
"Therapist matching please, I need CBT",yellow,en,true,hand_verified
"Need someone for grief counselling",yellow,en,true,hand_verified
"Student counsellor chahiye urgently",yellow,en,true,hand_verified
"Couples therapy ke baare mein poochna hai",yellow,hinglish,true,hand_verified
"Trauma informed therapist suggest karo",yellow,en,true,hand_verified
"I am not in danger but I am not okay",yellow,en,true,hand_verified
"Heavy day, need to talk to a human specialist",yellow,en,true,hand_verified
"Yellow kind of day, strained but coping",yellow,en,true,hand_verified
"I want to kill myself",red,en,true,hand_verified
"I want to kill myself tonight",red,en,true,hand_verified
"I am going to kill myself",red,en,true,hand_verified
"killing myself later",red,en,true,hand_verified
"I want to end my life",red,en,true,hand_verified
"ending my life today",red,en,true,hand_verified
"I will take my own life",red,en,true,hand_verified
"I want to take my life",red,en,true,hand_verified
"I want to die",red,en,true,hand_verified
"wanna die tonight",red,en,true,hand_verified
"I don't want to live",red,en,true,hand_verified
"I dont want to live anymore",red,en,true,hand_verified
"I don't want to be alive",red,en,true,hand_verified
"dont want to be alive",red,en,true,hand_verified
"I don't want to exist",red,en,true,hand_verified
"there is no reason to live",red,en,true,hand_verified
"no reason to be alive",red,en,true,hand_verified
"I would be better off dead",red,en,true,hand_verified
"better if I was dead",red,en,true,hand_verified
"I am suicidal",red,en,true,hand_verified
"suicide plan tonight",red,en,true,hand_verified
"thinking about suicide",red,en,true,hand_verified
"I will self-harm",red,en,true,hand_verified
"I am going to cut myself",red,en,true,hand_verified
"cutting myself again tonight",red,en,true,hand_verified
"I want to hurt myself",red,en,true,hand_verified
"I will harm myself",red,en,true,hand_verified
"I will hang myself",red,en,true,hand_verified
"planning an overdose",red,en,true,hand_verified
"od tonight",red,en,true,hand_verified
"I will jump off the balcony",red,en,true,hand_verified
"end it all tonight",red,en,true,hand_verified
"ending it all",red,en,true,hand_verified
"I can't go on living",red,en,true,hand_verified
"cant go on living like this",red,en,true,hand_verified
"I don't want to wake up",red,en,true,hand_verified
"dont want to wake up ever",red,en,true,hand_verified
"goodbye forever",red,en,true,hand_verified
"this is my last message",red,en,true,hand_verified
"Main marna chahta hoon",red,hinglish,true,hand_verified
"Main marna chahta hoon, please help",red,hinglish,true,hand_verified
"Mai marna chahti hoon",red,hinglish,true,hand_verified
"marna chahta hoon",red,hinglish,true,hand_verified
"mar jaaun kya",red,en,true,hand_verified
"marne ka mann hai",red,hinglish,true,hand_verified
"Mujhe jeene ki iccha nahi hai ab",red,hinglish,true,hand_verified
"jeene ki iccha nahi hai",red,hinglish,true,hand_verified
"jeene ka mann nahi",red,hinglish,true,hand_verified
"jeena nahi chahta hoon",red,hinglish,true,hand_verified
"jeene ka koi fayda nahi",red,hinglish,true,hand_verified
"koi fayda nahi jeene ka",red,hinglish,true,hand_verified
"khudkhushi kar lunga",red,en,true,hand_verified
"atmhatya karne ka soch raha hoon",red,hinglish,true,hand_verified
"khud ko maar dunga",red,en,true,hand_verified
"apni jaan le lunga",red,en,true,hand_verified
"jaan de dunga aaj",red,en,true,hand_verified
"suicide kar lunga",red,en,true,hand_verified
"khatam kar dunga khud ko",red,en,true,hand_verified
"zinda nahi rehna",red,hinglish,true,hand_verified
"is duniya se jaana hai",red,hinglish,true,hand_verified
"rehne ka mann nahi zinda",red,hinglish,true,hand_verified
"I have a plan to end it",red,en,true,hand_verified
"I already wrote the note",red,en,true,hand_verified
"pills are on the table",red,en,true,hand_verified
"rope is ready",red,en,true,hand_verified
"I will not be here tomorrow",red,en,true,hand_verified
"please don't stop me I will do it",red,en,true,hand_verified
"Exam stress is bad and I want to end my life",red,en,true,hand_verified
"Breakup ke baad marna chahta hoon",red,hinglish,true,hand_verified
"I hate myself and I want to die",red,en,true,hand_verified
"No one would miss me if I died tonight",red,en,true,hand_verified
"I am going to jump",red,en,true,hand_verified
"I will drive into a wall",red,en,true,hand_verified
"cut myself until I stop feeling",red,en,true,hand_verified
"I want to disappear forever by dying",red,en,true,hand_verified
"mujhe mar jana hai",red,hinglish,true,hand_verified
"main khudkushi karne wala hoon",red,hinglish,true,hand_verified
"aaj raat khatam",red,en,true,hand_verified
"last goodbye from me",red,en,true,hand_verified
"do not call me tomorrow I will be gone",red,en,true,hand_verified
